Date;Week;sets:;excercise;set 1;set 2;set 3;set 4;rest (min);comments;Starta Workout p klockan!;;;
;;3;inverted rows;13 x 10kg;11 x 10;10 x 10;;3;weighted;;;;
;;3;Side lateral;16 x 5kg;15 x 5;14 x 5 + finisher;;0;;;;;
;;3;adductors;14;12;12 + hold;;0;;;;;
;;3;Biceps;10 x 14.5kg;14.5;8 x 14.5 + finisher;;3;;;;;
;;19;;;;;;;;;;;
2022-11-09;46;4;Benchpress;6 x 65kg;5 x 65;5 x 65;6 x 60;3;;;;;
;;3;weighted hypers;8 x 54kg;10 x 49;9 x 49;;3;;;;;
;;3;Side lateral;17 x 5;15 x 5;15 x 5 + finisher;;0;;;;;
;;3;adductors;15;14;13 + hold;;0;;;;;
;;3;Biceps;9 x 15.75 kg;8 x 15.75;8 x 15.75;;3;sittande;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-11-18;47;4;Benchpress;4 x 70kg;5 x 65;5 x 65;6 x 60;3;;;;;
;;3;weighted hypers;13 x 49kg;11 x 49;8 x 49;;3;;;;;
;;3;Side lateral;16 x 5kg;16 x 5kg;16 x 5 + finisher;;0;;;;;
;;3;adductors;15;13;11;;0;;;;;
;;3;Biceps;9 x 15.75 kg;9 x 15.75 kg;8 x 15.75;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-11-26;48;4;Benchpress;5 x 70kg;5 x 65;5 x 65;6 x 60;3;;;;;
;;3;weighted hypers;13 x 49kg;10 x 49;9 x 49;;3;;;;;
;;3;Side lateral;17 x 5kg;17 x 5;16 x 5 + finisher;;0;;;;;
;;3;adductors;15;14;13;;0;;;;;
;;3;Biceps;9 x 15.75 kg;9 x 15.75;8 x 15.75 + finisher;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-04;49;4;Benchpress;1 x 80kg;5 x 65;7 x 60;6 x 60;3;;;;;
;;3;weighted hypers;12 x 49 kg;10 x 49;8 x 49;;3;;;;;
;;3;Side lateral;15 x 5kg;15 x 5;15 x 5 + finisher;;0;hgre;;;;
;;3;adductors;16;14;13;;0;;;;;
;;3;Biceps;8 x 17kg;8 x 17;7 x 17;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-14;51;4;Benchpress;2 x 70;1 x 75;1 x 80;1 x 82.5kg;3;;;;;
;;3;Benchpress;6 x 62.5;5 x 62.5;6 x 60;;3;;;;;
;;3;weighted hypers;12 x 49 kg;10 x 49;9 x 49;;3;;;;;
;;3;adductors;16;10;7;;1/ben;;;;;
;;3;Side lateral;15 x 5kg;14 x 5;12 x 5 + finisher;;0;;;;;
;;3;Biceps;9 x 17kg;7 x 17;6 x 17 + finisher;;2;;;;;
;;19;;;;;;;;;;;
2022-12-24;52;4;Pinpress;2 x 70;2 x 75;1 x 80;1 x 82.5kg;3;Squatpins;;;;
;;3;Pinpress;7 x 62.5;6 x 62.5;5 x 62.5;;3;Squatpins;;;;
;;3;weighted hypers;12 x 49 kg;9 x 49;8 x 49;;3;;;;;
;;3;adductors;;;;;1/ben;;;;;
;;3;Side lateral;;;;;0;;;;;
;;3;Biceps;;;;;2;;;;;
;;19;;;;;;;;;;;
2023-01-04;2;4;Pinpress;10 x 20kg;5 x 50;2 x 70;1 x 80kg;3;Squatpins;;;;
;;3;Pinpress;7 x 60 kg;6 x 60;7 x 55;;3;Squatpins;;;;
;;3;weighted hypers;11 x 49 kg;9 x 49;8 x 49;;3;;;;;
;;3;adductors;;;;;1/ben;;;;;
;;3;Side lateral;;;;;0;;;;;
;;3;Biceps;;;;;2;;;;;
;;19;;;;;;;;;;;
2023-01-14;3;4;Benchpress;5 x 60;2 x 70;1 x 80;1 x 85kg;3;reverse s band;;;;
;;3;Benchpress;7 x 60 kg;6 x 60;6 x 60;;3;reverse s band;;;;
;;3;weighted hypers;11 x 49 kg;9 x 49;8 x 49;;3;;;;;
;;3;Side lateral;17 x 5kg;15 x 5;15 x 5 + finisher;;0;;;;;
;;3;incline biceps;10 x 14.5kg;7 x 14.5;6 x 14.5 + finisher;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-01-22;4;4;Benchpress;5 x 50kg;4 x 65;1 x 80;1 x 87.5 (fail);3;reverse r band;;;;
;;3;Benchpress;1 x 82.5;6 x 62.5;6 x 60;5 x 60;3;reverse r band;;;;
