Date;Week;sets:;excercise;set 1;set 2;set 3;set 4;rest (min);comments;RPE
;;3;inverted delt row;16;12;13;;0;ringar, streck 7;9,5
;;3;side lateral;16 + 8;16 + 8;16 + 8;;2;en arm, lngsamt;9
;;3;straight arm pulldown;18 x 20;14 x 20;13 x 20;;1;maskin;9
;;3;Barbell curls;7 x 45;8 x 40;7 x 40;;2;stora stngen;9
;;20;;;;;;;;
2022-04-26;18;4;Barbell benchpress;;;;;3;;8.5
;;3;ring push ups;;;;;2;streck 8;9
;;3;inverted delt row;;;;;0;ringar, streck 7;9,5
;;3;side lateral;;;;;2;en arm, lngsamt;9
;;3;straight arm pulldown;;;;;1;maskin;9
;;3;Barbell curls;;;;;2;stora stngen;9
;;19;;;;;;;;
