effektivitet,djup,ISO8601,kvalitet,sover,vaken
"86,0",02:59:05,2022-11-23 00:00:00,04:45:18,06:28:00,01:03:00
"97,2",02:21:45,2022-11-24 00:00:00,04:49:10,06:18:00,00:11:00
"90,1",03:39:11,2022-11-25 00:00:00,06:39:38,08:21:00,00:55:00
"98,6",02:52:02,2022-11-26 00:00:00,06:04:38,07:44:30,00:06:30
"100,8",03:16:33,2022-11-27 00:00:00,06:34:30,09:00:30,00:04:30
"99,1",03:06:00,2022-11-28 00:00:00,05:33:37,07:45:00,00:04:00
"103,2",03:03:27,2022-11-29 00:00:00,05:49:36,08:37:00,00:16:00
"98,7",03:51:37,2022-11-30 00:00:00,06:12:14,08:45:00,00:07:00
"93,0",02:41:17,2022-12-01 00:00:00,05:22:44,08:18:30,00:37:30
"91,7",02:58:45,2022-12-02 00:00:00,05:38:51,08:40:00,00:47:00
"94,6",02:27:45,2022-12-03 00:00:00,05:26:55,07:38:00,00:26:00
"99,0",03:00:36,2022-12-04 00:00:00,04:54:26,07:31:30,00:04:30
"97,8",03:19:55,2022-12-05 00:00:00,06:02:17,08:27:30,00:11:30
"101,0",02:36:58,2022-12-06 00:00:00,05:04:52,07:19:30,00:04:30
"100,7",02:37:35,2022-12-07 00:00:00,04:48:35,07:37:00,00:03:00
"99,2",02:15:00,2022-12-08 00:00:00,06:18:13,08:30:00,00:04:00
"94,7",02:00:08,2022-12-09 00:00:00,05:05:24,07:15:30,00:24:30
"99,1",02:19:13,2022-12-10 00:00:00,05:19:05,07:59:30,00:04:30
"96,4",02:45:11,2022-12-11 00:00:00,05:36:14,07:45:30,00:17:30
"99,2",03:36:46,2022-12-12 00:00:00,05:46:51,08:00:00,00:04:00
"96,8",02:52:20,2022-12-13 00:00:00,05:58:47,08:37:00,00:17:00
"97,2",03:30:32,2022-12-14 00:00:00,06:29:52,09:43:00,00:17:00
"94,8",02:47:21,2022-12-15 00:00:00,06:05:48,08:55:30,00:29:30
"96,3",02:19:13,2022-12-16 00:00:00,05:28:11,07:59:30,00:18:30
"97,2",01:22:49,2022-12-17 00:00:00,05:28:21,08:50:00,00:15:00
"98,4",02:05:39,2022-12-18 00:00:00,04:34:59,07:35:30,00:07:30
"93,0",04:29:49,2022-12-19 00:00:00,07:00:26,09:15:30,00:41:30
"95,9",03:43:28,2022-12-20 00:00:00,06:55:15,09:41:00,00:25:00
"94,6",02:16:30,2022-12-21 00:00:00,05:40:12,07:35:00,00:26:00
"93,2",02:03:52,2022-12-22 00:00:00,05:27:33,07:29:00,00:33:00
"95,3",03:20:38,2022-12-23 00:00:00,05:28:27,07:43:00,00:23:00
"97,2",03:17:24,2022-12-24 00:00:00,05:30:07,06:50:00,00:12:00
"93,8",03:11:04,2022-12-25 00:00:00,05:16:04,08:05:00,00:32:00
"94,8",03:14:00,2022-12-26 00:00:00,06:36:13,09:42:00,00:32:00
"95,9",02:46:42,2022-12-27 00:00:00,04:39:27,06:34:00,00:17:00
"90,2",02:55:14,2022-12-28 00:00:00,06:22:38,07:42:00,00:50:00
"95,9",03:38:29,2022-12-29 00:00:00,06:30:03,08:35:00,00:22:00
"98,0",03:02:54,2022-12-30 00:00:00,05:56:34,07:52:30,00:09:30
"87,3",02:04:38,2022-12-31 00:00:00,05:52:02,08:18:30,01:12:30
"97,3",01:58:16,2023-01-01 00:00:00,05:12:50,07:23:30,00:12:30
"98,0",04:15:29,2023-01-02 00:00:00,06:30:44,08:46:00,00:11:00
"97,0",03:35:44,2023-01-03 00:00:00,06:36:10,08:28:30,00:15:30
"99,2",03:46:15,2023-01-04 00:00:00,06:29:17,08:21:00,00:04:00
