effektivitet,djup,ISO8601,kvalitet,sover,vaken
"96,9",02:32:13,2022-03-14 00:00:00,04:49:53,06:51:00,00:13:00
"100,0",03:16:44,2022-03-15 00:00:00,05:36:41,07:34:00,00:00:00
"80,9",03:27:06,2022-03-16 00:00:00,05:56:37,07:42:00,01:49:00
"92,9",03:36:00,2022-03-17 00:00:00,05:46:57,07:12:00,00:33:00
"96,2",02:43:47,2022-03-18 00:00:00,05:11:40,06:42:00,00:16:00
"97,5",02:37:02,2022-03-19 00:00:00,04:52:51,07:04:00,00:11:00
"78,6",02:50:30,2022-03-20 00:00:00,05:53:04,08:16:00,02:15:00
"86,5",02:30:39,2022-03-21 00:00:00,04:42:09,07:47:00,01:13:00
"100,0",02:46:40,2022-03-22 00:00:00,05:42:18,08:20:00,00:00:00
"94,8",02:28:53,2022-03-23 00:00:00,04:52:27,06:42:00,00:22:00
"96,3",01:16:29,2022-03-24 00:00:00,04:23:14,06:53:00,00:16:00
"94,0",03:53:34,2022-03-25 00:00:00,05:48:12,07:16:00,00:28:00
"84,3",00:58:46,2022-03-26 00:00:00,04:57:29,06:22:00,01:11:00
"97,0",03:11:09,2022-03-27 00:00:00,05:35:06,07:26:00,00:14:00
"91,9",02:52:13,2022-03-28 00:00:00,06:12:41,08:21:00,00:44:00
"86,6",02:52:34,2022-03-29 00:00:00,05:15:18,08:22:00,01:18:00
"89,3",02:37:12,2022-03-30 00:00:00,04:44:10,06:33:00,00:47:00
"100,0",02:52:35,2022-03-31 00:00:00,05:33:56,07:35:00,00:00:00
"96,4",03:01:08,2022-04-01 00:00:00,05:36:03,08:03:00,00:18:00
"99,4",02:18:56,2022-04-02 00:00:00,05:47:05,08:14:00,00:03:00
"99,1",01:33:00,2022-04-03 00:00:00,06:02:36,08:47:00,00:05:00
"98,5",03:19:20,2022-04-04 00:00:00,06:03:14,07:40:00,00:07:00
"96,0",02:19:04,2022-04-05 00:00:00,05:47:18,07:59:00,00:20:00
"81,3",01:41:38,2022-04-06 00:00:00,04:21:02,06:32:00,01:30:00
"96,9",02:16:02,2022-04-07 00:00:00,05:59:22,08:49:00,00:17:00
"100,0",03:16:02,2022-04-08 00:00:00,07:14:52,09:33:00,00:00:00
"91,5",03:08:48,2022-04-09 00:00:00,05:38:02,07:52:00,00:44:00
"100,0",03:18:04,2022-04-10 00:00:00,06:07:57,08:38:00,00:00:00
"93,6",03:02:11,2022-04-11 00:00:00,05:40:55,08:21:00,00:34:00
"98,2",02:41:17,2022-04-12 00:00:00,05:50:27,08:20:00,00:09:00
"87,8",02:36:40,2022-04-13 00:00:00,04:37:28,07:03:00,00:59:00
"90,0",03:19:20,2022-04-14 00:00:00,04:47:19,06:54:00,00:46:00
"93,6",02:47:12,2022-04-15 00:00:00,05:47:10,07:36:00,00:31:00
"90,0",02:31:26,2022-04-16 00:00:00,05:27:52,07:04:00,00:47:00
"94,4",02:31:34,2022-04-17 00:00:00,05:41:08,08:05:00,00:29:00
"94,9",03:05:23,2022-04-18 00:00:00,05:24:32,07:28:00,00:24:00
"91,9",02:50:06,2022-04-19 00:00:00,05:04:39,07:13:00,00:38:00
"95,5",02:52:42,2022-04-20 00:00:00,05:36:09,07:51:00,00:22:00
"82,7",03:12:29,2022-04-21 00:00:00,05:26:25,07:39:00,01:36:00
"100,0",00:15:27,2022-04-22 00:00:00,05:21:45,09:01:00,00:00:00
"90,8",03:01:36,2022-04-23 00:00:00,05:16:50,07:34:00,00:46:00
