exercise,set #,reps,weight,bodyweight,date
triceps,3,10.0,25.0,75.35499999999999,2021-12-09
pull ups,1,5.0,13.75,75.35499999999999,2021-12-09
pull ups,2,5.0,12.5,75.35499999999999,2021-12-09
pull ups,3,6.0,10.0,75.35499999999999,2021-12-09
pull ups,4,6.0,7.5,75.35499999999999,2021-12-09
barbell hacksquat,1,5.0,90.0,75.31,2021-12-11
barbell hacksquat,2,6.0,85.0,75.31,2021-12-11
barbell hacksquat,3,5.0,85.0,75.31,2021-12-11
barbell hacksquat,4,6.0,80.0,75.31,2021-12-11
romanian deadlifts,1,16.0,60.0,75.31,2021-12-11
romanian deadlifts,2,16.0,60.0,75.31,2021-12-11
romanian deadlifts,3,16.0,60.0,75.31,2021-12-11
romanian deadlifts,4,16.0,60.0,75.31,2021-12-11
reverse nordics,1,16.0,0.0,75.31,2021-12-11
reverse nordics,2,15.0,0.0,75.31,2021-12-11
reverse nordics,3,15.0,0.0,75.31,2021-12-11
single leg hyper,1,22.0,0.0,75.31,2021-12-11
single leg hyper,2,22.0,0.0,75.31,2021-12-11
single leg hyper,3,22.0,0.0,75.31,2021-12-11
tibialis raise,1,22.0,0.0,75.31,2021-12-11
tibialis raise,2,15.0,0.0,75.31,2021-12-11
tibialis raise,3,12.0,0.0,75.31,2021-12-11
decline push ups,1,9.0,0.0,74.59,2021-12-13
decline push ups,2,7.0,0.0,74.59,2021-12-13
decline push ups,3,6.0,0.0,74.59,2021-12-13
decline push ups,4,6.0,0.0,74.59,2021-12-13
dips,1,6.0,0.0,74.59,2021-12-13
dips,2,6.0,0.0,74.59,2021-12-13
dips,3,5.0,0.0,74.59,2021-12-13
push ups,1,6.0,20.0,74.59,2021-12-13
push ups,2,5.0,17.5,74.59,2021-12-13
push ups,3,5.0,15.0,74.59,2021-12-13
push ups,4,5.0,12.5,74.59,2021-12-13
wide grip rows,1,16.0,19.5,74.59,2021-12-13
wide grip rows,2,16.0,19.5,74.59,2021-12-13
wide grip rows,3,16.0,19.5,74.59,2021-12-13
db shoulder press,1,6.0,19.5,74.66,2021-12-17
db shoulder press,2,5.0,19.5,74.66,2021-12-17
db shoulder press,3,5.0,19.5,74.66,2021-12-17
db shoulder press,4,4.0,19.5,74.66,2021-12-17
close grip row,1,15.0,0.0,74.66,2021-12-17
close grip row,2,13.0,0.0,74.66,2021-12-17
close grip row,3,12.0,0.0,74.66,2021-12-17
hyperextensions,1,28.0,0.0,74.66,2021-12-17
hyperextensions,2,25.0,0.0,74.66,2021-12-17
hyperextensions,3,25.0,0.0,74.66,2021-12-17
straight arm pulldown,1,15.0,15.0,74.66,2021-12-17
straight arm pulldown,2,13.0,15.0,74.66,2021-12-17
straight arm pulldown,3,13.0,15.0,74.66,2021-12-17
triceps,1,22.0,15.0,74.66,2021-12-17
triceps,2,12.0,20.0,74.66,2021-12-17
triceps,3,12.0,20.0,74.66,2021-12-17
pull ups,1,6.0,15.0,74.66,2021-12-17
pull ups,2,5.0,15.0,74.66,2021-12-17
pull ups,3,5.0,12.5,74.66,2021-12-17
pull ups,4,5.0,12.5,74.66,2021-12-17
barbell curls,1,10.0,35.0,74.24,2021-12-21
barbell curls,2,10.0,35.0,74.24,2021-12-21
barbell curls,3,9.0,35.0,74.24,2021-12-21
barbell hacksquat,1,4.0,90.0,74.24,2021-12-21
barbell hacksquat,2,5.0,85.0,74.24,2021-12-21
barbell hacksquat,3,5.0,85.0,74.24,2021-12-21
barbell hacksquat,4,5.0,85.0,74.24,2021-12-21
decline push ups,1,10.0,0.0,74.24,2021-12-21
decline push ups,2,8.0,0.0,74.24,2021-12-21
decline push ups,3,7.0,0.0,74.24,2021-12-21
decline push ups,4,7.0,0.0,74.24,2021-12-21
dips,1,6.0,0.0,74.24,2021-12-21
dips,2,6.0,0.0,74.24,2021-12-21
dips,3,6.0,0.0,74.24,2021-12-21
hyperextensions,1,30.0,0.0,74.24,2021-12-21
hyperextensions,2,30.0,0.0,74.24,2021-12-21
hyperextensions,3,28.0,0.0,74.24,2021-12-21
romanian deadlifts,1,13.0,70.0,74.24,2021-12-21
romanian deadlifts,2,16.0,70.0,74.24,2021-12-21
romanian deadlifts,3,16.0,70.0,74.24,2021-12-21
romanian deadlifts,4,16.0,70.0,74.24,2021-12-21
reverse nordics,1,14.0,0.0,74.24,2021-12-21
reverse nordics,2,14.0,0.0,74.24,2021-12-21
reverse nordics,3,13.0,0.0,74.24,2021-12-21
side lateral,1,12.0,5.0,74.24,2021-12-21
side lateral,2,12.0,5.0,74.24,2021-12-21
side lateral,3,8.0,5.0,74.24,2021-12-21
tibialis raise,1,20.0,0.0,74.24,2021-12-21
tibialis raise,2,14.0,0.0,74.24,2021-12-21
tibialis raise,3,11.0,0.0,74.24,2021-12-21
push ups,1,5.0,20.0,74.24,2021-12-21
push ups,2,4.0,17.5,74.24,2021-12-21
push ups,3,4.0,15.0,74.24,2021-12-21
push ups,4,4.0,12.5,74.24,2021-12-21
wide grip rows,1,20.0,19.5,74.24,2021-12-21
wide grip rows,2,18.0,19.5,74.24,2021-12-21
wide grip rows,3,18.0,19.5,74.24,2021-12-21
atg split squats,1,10.0,20.0,76.49,2021-12-25
atg split squats,2,14.0,10.0,76.49,2021-12-25
atg split squats,3,12.0,10.0,76.49,2021-12-25
atg split squats,4,10.0,10.0,76.49,2021-12-25
nordic curls,1,16.0,0.0,76.49,2021-12-25
nordic curls,2,15.0,0.0,76.49,2021-12-25
nordic curls,3,12.0,0.0,76.49,2021-12-25
sumo dl,1,6.0,90.0,76.49,2021-12-25
sumo dl,2,6.0,90.0,76.49,2021-12-25
sumo dl,3,6.0,90.0,76.49,2021-12-25
sumo dl,4,6.0,90.0,76.49,2021-12-25
lunges,1,20.0,0.0,76.49,2021-12-25
lunges,2,20.0,0.0,76.49,2021-12-25
lunges,3,20.0,0.0,76.49,2021-12-25
db shoulder press,1,5.0,40.0,76.8,2021-12-27
db shoulder press,2,6.0,35.0,76.8,2021-12-27
db shoulder press,3,5.0,35.0,76.8,2021-12-27
db shoulder press,4,6.0,30.0,76.8,2021-12-27
close grip row,1,18.0,19.5,76.8,2021-12-27
close grip row,2,16.0,19.5,76.8,2021-12-27
close grip row,3,14.0,19.5,76.8,2021-12-27
hyperextensions,1,25.0,10.0,76.8,2021-12-27
hyperextensions,2,25.0,10.0,76.8,2021-12-27
hyperextensions,3,18.0,16.0,76.8,2021-12-27
straight arm pulldown,1,10.0,20.0,76.8,2021-12-27
straight arm pulldown,2,10.0,20.0,76.8,2021-12-27
straight arm pulldown,3,15.0,15.0,76.8,2021-12-27
pull ups,1,5.0,15.0,76.8,2021-12-27
pull ups,2,5.0,15.0,76.8,2021-12-27
pull ups,3,4.0,12.5,76.8,2021-12-27
pull ups,4,4.0,10.0,76.8,2021-12-27
barbell hacksquat,1,6.0,90.0,76.205,2021-12-29
barbell hacksquat,2,6.0,90.0,76.205,2021-12-29
barbell hacksquat,3,5.0,90.0,76.205,2021-12-29
barbell hacksquat,4,5.0,90.0,76.205,2021-12-29
hyperextensions,1,36.0,0.0,76.205,2021-12-29
hyperextensions,2,35.0,0.0,76.205,2021-12-29
hyperextensions,3,32.0,0.0,76.205,2021-12-29
romanian deadlifts,1,16.0,80.0,76.205,2021-12-29
romanian deadlifts,2,15.0,80.0,76.205,2021-12-29
romanian deadlifts,3,16.0,70.0,76.205,2021-12-29
romanian deadlifts,4,16.0,70.0,76.205,2021-12-29
reverse nordics,1,16.0,0.0,76.205,2021-12-29
reverse nordics,2,22.0,0.0,76.205,2021-12-29
reverse nordics,3,12.0,0.0,76.205,2021-12-29
tibialis raise,1,18.0,0.0,76.205,2021-12-29
tibialis raise,2,14.0,0.0,76.205,2021-12-29
tibialis raise,3,12.0,0.0,76.205,2021-12-29
barbell curls,1,11.0,35.0,76.9,2021-12-31
barbell curls,2,9.0,35.0,76.9,2021-12-31
barbell curls,3,9.0,35.0,76.9,2021-12-31
decline push ups,1,8.0,0.0,76.9,2021-12-31
decline push ups,2,6.0,0.0,76.9,2021-12-31
decline push ups,3,6.0,0.0,76.9,2021-12-31
decline push ups,4,5.0,0.0,76.9,2021-12-31
side lateral,1,16.0,10.0,76.9,2021-12-31
side lateral,2,16.0,10.0,76.9,2021-12-31
side lateral,3,16.0,10.0,76.9,2021-12-31
push ups,1,5.0,20.0,76.9,2021-12-31
push ups,2,5.0,20.0,76.9,2021-12-31
push ups,3,5.0,17.5,76.9,2021-12-31
push ups,4,5.0,15.0,76.9,2021-12-31
wide grip rows,1,15.0,30.0,76.9,2021-12-31
wide grip rows,2,18.0,30.0,76.9,2021-12-31
wide grip rows,3,16.0,30.0,76.9,2021-12-31
atg split squats,1,10.0,20.0,76.35,2022-01-02
atg split squats,2,8.0,20.0,76.35,2022-01-02
atg split squats,3,7.0,20.0,76.35,2022-01-02
atg split squats,4,7.0,20.0,76.35,2022-01-02
hamstring curls,1,16.0,5.0,76.35,2022-01-02
hamstring curls,2,12.0,5.0,76.35,2022-01-02
hamstring curls,3,12.0,5.0,76.35,2022-01-02
sumo dl,1,5.0,95.0,76.35,2022-01-02
sumo dl,2,5.0,95.0,76.35,2022-01-02
sumo dl,3,5.0,90.0,76.35,2022-01-02
sumo dl,4,5.0,90.0,76.35,2022-01-02
lunges,1,26.0,0.0,76.35,2022-01-02
lunges,2,24.0,0.0,76.35,2022-01-02
lunges,3,24.0,0.0,76.35,2022-01-02
db shoulder press,1,8.0,24.75,75.075,2022-01-04
db shoulder press,2,6.5,24.75,75.075,2022-01-04
db shoulder press,3,7.0,22.25,75.075,2022-01-04
db shoulder press,4,2.5,9.75,75.075,2022-01-04
straight arm pulldown,1,9.0,20.0,75.075,2022-01-04
straight arm pulldown,2,16.0,15.0,75.075,2022-01-04
straight arm pulldown,3,15.0,15.0,75.075,2022-01-04
chin ups,1,6.0,15.0,75.075,2022-01-04
chin ups,2,5.0,12.5,75.075,2022-01-04
chin ups,3,5.0,10.0,75.075,2022-01-04
chin ups,4,4.0,10.0,75.075,2022-01-04
barbell hacksquat,1,5.0,95.0,76.815,2022-01-06
barbell hacksquat,2,5.0,95.0,76.815,2022-01-06
barbell hacksquat,3,5.0,95.0,76.815,2022-01-06
barbell hacksquat,4,5.0,95.0,76.815,2022-01-06
nordic curls,1,7.0,0.0,76.815,2022-01-06
nordic curls,2,6.0,0.0,76.815,2022-01-06
nordic curls,3,5.0,0.0,76.815,2022-01-06
romanian deadlifts,1,16.0,75.0,76.815,2022-01-06
romanian deadlifts,2,16.0,80.0,76.815,2022-01-06
romanian deadlifts,3,16.0,80.0,76.815,2022-01-06
romanian deadlifts,4,14.0,80.0,76.815,2022-01-06
reverse nordics,1,12.0,0.0,76.815,2022-01-06
reverse nordics,2,10.0,0.0,76.815,2022-01-06
reverse nordics,3,10.0,0.0,76.815,2022-01-06
barbell curls,1,10.0,37.5,75.74333333333334,2022-01-08
barbell curls,2,8.0,37.5,75.74333333333334,2022-01-08
barbell curls,3,7.0,37.5,75.74333333333334,2022-01-08
decline push ups,1,9.0,0.0,75.74333333333334,2022-01-08
decline push ups,2,8.0,0.0,75.74333333333334,2022-01-08
decline push ups,3,7.0,0.0,75.74333333333334,2022-01-08
decline push ups,4,6.0,0.0,75.74333333333334,2022-01-08
side lateral,1,10.0,3.75,75.74333333333334,2022-01-08
side lateral,2,6.0,3.75,75.74333333333334,2022-01-08
side lateral,3,10.0,0.0,75.74333333333334,2022-01-08
straight arm pulldown,1,13.0,15.0,75.74333333333334,2022-01-08
straight arm pulldown,2,12.0,15.0,75.74333333333334,2022-01-08
straight arm pulldown,3,10.0,15.0,75.74333333333334,2022-01-08
push ups,1,5.0,20.0,75.74333333333334,2022-01-08
push ups,2,4.0,20.0,75.74333333333334,2022-01-08
push ups,3,4.0,17.5,75.74333333333334,2022-01-08
push ups,4,5.0,15.0,75.74333333333334,2022-01-08
wide grip rows,1,15.0,40.0,75.74333333333334,2022-01-08
wide grip rows,2,12.0,35.0,75.74333333333334,2022-01-08
wide grip rows,3,15.0,30.0,75.74333333333334,2022-01-08
atg split squats,1,11.0,20.0,76.36,2022-01-10
atg split squats,2,9.0,20.0,76.36,2022-01-10
atg split squats,3,7.0,20.0,76.36,2022-01-10
atg split squats,4,7.0,20.0,76.36,2022-01-10
hamstring curls,1,7.0,10.0,76.36,2022-01-10
hamstring curls,2,13.0,5.0,76.36,2022-01-10
hamstring curls,3,11.0,5.0,76.36,2022-01-10
sissy squats,1,6.0,0.0,76.36,2022-01-10
sissy squats,2,6.0,0.0,76.36,2022-01-10
sissy squats,3,6.0,0.0,76.36,2022-01-10
sumo dl,1,4.0,100.0,76.36,2022-01-10
sumo dl,2,6.0,95.0,76.36,2022-01-10
sumo dl,3,6.0,95.0,76.36,2022-01-10
sumo dl,4,6.0,95.0,76.36,2022-01-10
db shoulder press,1,8.0,19.5,76.18,2022-01-12
db shoulder press,2,7.0,19.5,76.18,2022-01-12
db shoulder press,3,5.0,19.5,76.18,2022-01-12
db shoulder press,4,5.0,19.5,76.18,2022-01-12
decline press,1,10.0,0.0,76.18,2022-01-12
decline press,2,9.0,0.0,76.18,2022-01-12
decline press,3,8.0,0.0,76.18,2022-01-12
inverted rows,1,13.0,0.0,76.18,2022-01-12
inverted rows,2,12.0,0.0,76.18,2022-01-12
inverted rows,3,12.0,0.0,76.18,2022-01-12
lat pulldown,1,15.0,50.0,76.18,2022-01-12
lat pulldown,2,10.0,55.0,76.18,2022-01-12
lat pulldown,3,8.0,55.0,76.18,2022-01-12
chin ups,1,5.5,15.0,76.18,2022-01-12
chin ups,2,5.0,12.5,76.18,2022-01-12
chin ups,3,5.0,10.0,76.18,2022-01-12
chin ups,4,4.0,10.0,76.18,2022-01-12
barbell hacksquat,1,5.0,105.0,76.755,2022-01-14
barbell hacksquat,2,5.0,105.0,76.755,2022-01-14
barbell hacksquat,3,5.0,105.0,76.755,2022-01-14
barbell hacksquat,4,5.0,105.0,76.755,2022-01-14
romanian deadlifts,1,14.0,90.0,76.755,2022-01-14
romanian deadlifts,2,13.0,90.0,76.755,2022-01-14
romanian deadlifts,3,12.0,90.0,76.755,2022-01-14
romanian deadlifts,4,12.0,90.0,76.755,2022-01-14
reverse nordics,1,18.0,0.0,76.755,2022-01-14
reverse nordics,2,16.0,0.0,76.755,2022-01-14
reverse nordics,3,16.0,0.0,76.755,2022-01-14
hamstring curls,1,6.0,5.0,76.755,2022-01-14
hamstring curls,2,6.0,5.0,76.755,2022-01-14
hamstring curls,3,6.0,5.0,76.755,2022-01-14
barbell curls,1,11.0,37.5,76.37,2022-01-16
barbell curls,2,9.0,37.5,76.37,2022-01-16
barbell curls,3,8.0,37.5,76.37,2022-01-16
decline push ups,1,7.0,0.0,76.37,2022-01-16
decline push ups,2,6.0,0.0,76.37,2022-01-16
decline push ups,3,6.0,0.0,76.37,2022-01-16
decline push ups,4,5.0,0.0,76.37,2022-01-16
side lateral,1,8.0,3.75,76.37,2022-01-16
side lateral,2,12.0,0.0,76.37,2022-01-16
side lateral,3,14.0,0.0,76.37,2022-01-16
straight arm pulldown,1,15.0,15.0,76.37,2022-01-16
straight arm pulldown,2,12.0,15.0,76.37,2022-01-16
straight arm pulldown,3,11.0,15.0,76.37,2022-01-16
push ups,1,5.0,20.0,76.37,2022-01-16
push ups,2,5.0,17.5,76.37,2022-01-16
push ups,3,5.0,15.0,76.37,2022-01-16
push ups,4,4.0,15.0,76.37,2022-01-16
wide grip rows,1,12.0,45.0,76.37,2022-01-16
wide grip rows,2,13.0,40.0,76.37,2022-01-16
wide grip rows,3,12.0,40.0,76.37,2022-01-16
atg split squats,1,10.0,20.0,74.94,2022-01-19
atg split squats,2,9.0,20.0,74.94,2022-01-19
atg split squats,3,8.0,20.0,74.94,2022-01-19
hamstring curls,1,9.0,5.0,74.94,2022-01-19
hamstring curls,2,9.0,5.0,74.94,2022-01-19
hamstring curls,3,7.0,5.0,74.94,2022-01-19
sissy squats,1,7.0,0.0,74.94,2022-01-19
sissy squats,2,7.0,0.0,74.94,2022-01-19
sissy squats,3,7.0,0.0,74.94,2022-01-19
sumo dl,1,6.0,100.0,74.94,2022-01-19
sumo dl,2,5.0,100.0,74.94,2022-01-19
sumo dl,3,5.0,100.0,74.94,2022-01-19
sumo dl,4,5.0,100.0,74.94,2022-01-19
db shoulder press,1,9.0,19.5,74.85,2022-01-21
db shoulder press,2,7.0,19.5,74.85,2022-01-21
db shoulder press,3,5.0,19.5,74.85,2022-01-21
db shoulder press,4,5.0,19.5,74.85,2022-01-21
decline press,1,9.0,0.0,74.85,2022-01-21
decline press,2,8.0,0.0,74.85,2022-01-21
decline press,3,7.0,0.0,74.85,2022-01-21
inverted rows,1,14.0,0.0,74.85,2022-01-21
inverted rows,2,13.0,0.0,74.85,2022-01-21
inverted rows,3,13.0,0.0,74.85,2022-01-21
lat pulldown,1,12.0,55.0,74.85,2022-01-21
lat pulldown,2,10.0,55.0,74.85,2022-01-21
lat pulldown,3,8.0,55.0,74.85,2022-01-21
chin ups,1,6.0,15.0,74.85,2022-01-21
chin ups,2,5.0,15.0,74.85,2022-01-21
chin ups,3,5.0,12.5,74.85,2022-01-21
chin ups,4,5.0,10.0,74.85,2022-01-21
barbell hacksquat,1,6.0,100.0,77.34,2022-01-23
barbell hacksquat,2,5.0,100.0,77.34,2022-01-23
barbell hacksquat,3,5.0,100.0,77.34,2022-01-23
barbell hacksquat,4,5.0,100.0,77.34,2022-01-23
romanian deadlifts,1,14.0,90.0,77.34,2022-01-23
romanian deadlifts,2,14.0,90.0,77.34,2022-01-23
romanian deadlifts,3,14.0,90.0,77.34,2022-01-23
reverse nordics,1,16.0,0.0,77.34,2022-01-23
reverse nordics,2,12.0,0.0,77.34,2022-01-23
reverse nordics,3,12.0,0.0,77.34,2022-01-23
hamstring curls,1,9.0,5.0,77.34,2022-01-23
hamstring curls,2,7.0,5.0,77.34,2022-01-23
hamstring curls,3,6.0,5.0,77.34,2022-01-23
barbell curls,1,9.0,40.0,76.91,2022-01-25
barbell curls,2,8.0,40.0,76.91,2022-01-25
barbell curls,3,7.0,40.0,76.91,2022-01-25
decline push ups,1,8.0,0.0,76.91,2022-01-25
decline push ups,2,6.0,0.0,76.91,2022-01-25
decline push ups,3,6.0,0.0,76.91,2022-01-25
decline push ups,4,5.0,0.0,76.91,2022-01-25
side lateral,1,9.0,3.75,76.91,2022-01-25
side lateral,2,13.0,0.0,76.91,2022-01-25
side lateral,3,13.0,0.0,76.91,2022-01-25
straight arm pulldown,1,14.0,20.0,76.91,2022-01-25
straight arm pulldown,2,14.0,20.0,76.91,2022-01-25
straight arm pulldown,3,12.0,20.0,76.91,2022-01-25
push ups,1,6.0,20.0,76.91,2022-01-25
push ups,2,5.0,17.5,76.91,2022-01-25
push ups,3,6.0,15.0,76.91,2022-01-25
push ups,4,4.0,15.0,76.91,2022-01-25
wide grip rows,1,14.0,45.0,76.91,2022-01-25
wide grip rows,2,13.0,45.0,76.91,2022-01-25
wide grip rows,3,13.0,45.0,76.91,2022-01-25
atg split squats,1,11.0,20.0,76.47999999999999,2022-01-28
atg split squats,2,10.0,20.0,76.47999999999999,2022-01-28
atg split squats,3,9.0,20.0,76.47999999999999,2022-01-28
hamstring curls,1,10.0,5.0,76.47999999999999,2022-01-28
hamstring curls,2,7.0,5.0,76.47999999999999,2022-01-28
hamstring curls,3,7.0,5.0,76.47999999999999,2022-01-28
sissy squats,1,7.0,0.0,76.47999999999999,2022-01-28
sissy squats,2,7.0,0.0,76.47999999999999,2022-01-28
sissy squats,3,7.0,0.0,76.47999999999999,2022-01-28
sumo dl,1,6.0,105.0,76.47999999999999,2022-01-28
sumo dl,2,6.0,105.0,76.47999999999999,2022-01-28
sumo dl,3,6.0,105.0,76.47999999999999,2022-01-28
sumo dl,4,5.0,105.0,76.47999999999999,2022-01-28
db shoulder press,1,6.0,22.0,76.22,2022-01-30
db shoulder press,2,4.0,22.0,76.22,2022-01-30
db shoulder press,3,6.0,19.5,76.22,2022-01-30
db shoulder press,4,5.0,19.5,76.22,2022-01-30
decline press,1,11.0,0.0,76.22,2022-01-30
decline press,2,9.0,0.0,76.22,2022-01-30
decline press,3,7.0,0.0,76.22,2022-01-30
inverted rows,1,15.0,0.0,76.22,2022-01-30
inverted rows,2,14.0,0.0,76.22,2022-01-30
inverted rows,3,12.0,0.0,76.22,2022-01-30
lat pulldown,1,13.0,55.0,76.22,2022-01-30
lat pulldown,2,10.0,55.0,76.22,2022-01-30
lat pulldown,3,8.0,55.0,76.22,2022-01-30
chin ups,1,6.0,16.25,76.22,2022-01-30
chin ups,2,5.0,15.0,76.22,2022-01-30
chin ups,3,5.0,13.75,76.22,2022-01-30
chin ups,4,5.0,12.5,76.22,2022-01-30
barbell hacksquat,1,5.0,110.0,77.02666666666666,2022-02-01
barbell hacksquat,2,5.0,110.0,77.02666666666666,2022-02-01
barbell hacksquat,3,5.0,110.0,77.02666666666666,2022-02-01
barbell hacksquat,4,5.0,110.0,77.02666666666666,2022-02-01
romanian deadlifts,1,11.0,95.0,77.02666666666666,2022-02-01
romanian deadlifts,2,10.0,95.0,77.02666666666666,2022-02-01
romanian deadlifts,3,10.0,95.0,77.02666666666666,2022-02-01
reverse nordics,1,12.0,0.0,77.02666666666666,2022-02-01
reverse nordics,2,12.0,0.0,77.02666666666666,2022-02-01
reverse nordics,3,11.0,0.0,77.02666666666666,2022-02-01
hamstring curls,1,10.0,5.0,77.02666666666666,2022-02-01
hamstring curls,2,8.0,5.0,77.02666666666666,2022-02-01
hamstring curls,3,8.0,5.0,77.02666666666666,2022-02-01
barbell curls,1,10.0,40.0,76.66499999999999,2022-02-03
barbell curls,2,9.0,40.0,76.66499999999999,2022-02-03
barbell curls,3,7.0,40.0,76.66499999999999,2022-02-03
decline push ups,1,7.0,0.0,76.66499999999999,2022-02-03
decline push ups,2,7.0,0.0,76.66499999999999,2022-02-03
decline push ups,3,6.0,0.0,76.66499999999999,2022-02-03
decline push ups,4,5.0,0.0,76.66499999999999,2022-02-03
side lateral,1,15.0,0.0,76.66499999999999,2022-02-03
side lateral,2,14.0,0.0,76.66499999999999,2022-02-03
side lateral,3,9.0,0.0,76.66499999999999,2022-02-03
straight arm pulldown,1,16.0,20.0,76.66499999999999,2022-02-03
straight arm pulldown,2,13.0,20.0,76.66499999999999,2022-02-03
straight arm pulldown,3,10.0,20.0,76.66499999999999,2022-02-03
push ups,1,5.0,20.0,76.66499999999999,2022-02-03
push ups,2,5.0,17.5,76.66499999999999,2022-02-03
push ups,3,5.0,15.0,76.66499999999999,2022-02-03
push ups,4,5.0,12.5,76.66499999999999,2022-02-03
wide grip rows,1,12.0,50.0,76.66499999999999,2022-02-03
wide grip rows,2,12.0,50.0,76.66499999999999,2022-02-03
wide grip rows,3,10.0,50.0,76.66499999999999,2022-02-03
atg split squats,1,12.0,20.0,77.46000000000001,2022-02-06
atg split squats,2,10.0,20.0,77.46000000000001,2022-02-06
atg split squats,3,9.0,20.0,77.46000000000001,2022-02-06
hamstring curls,1,10.0,5.0,77.46000000000001,2022-02-06
hamstring curls,2,9.0,5.0,77.46000000000001,2022-02-06
hamstring curls,3,7.0,5.0,77.46000000000001,2022-02-06
sissy squats,1,8.0,0.0,77.46000000000001,2022-02-06
sissy squats,2,7.0,0.0,77.46000000000001,2022-02-06
sissy squats,3,7.0,0.0,77.46000000000001,2022-02-06
sumo dl,1,5.0,110.0,77.46000000000001,2022-02-06
sumo dl,2,5.0,110.0,77.46000000000001,2022-02-06
sumo dl,3,5.0,110.0,77.46000000000001,2022-02-06
sumo dl,4,5.0,110.0,77.46000000000001,2022-02-06
db shoulder press,1,6.0,22.0,77.715,2022-02-07
db shoulder press,2,5.0,22.0,77.715,2022-02-07
db shoulder press,3,6.0,19.5,77.715,2022-02-07
db shoulder press,4,5.0,19.5,77.715,2022-02-07
decline press,1,12.0,0.0,77.715,2022-02-07
decline press,2,10.0,0.0,77.715,2022-02-07
decline press,3,8.0,0.0,77.715,2022-02-07
inverted rows,1,13.0,0.0,77.715,2022-02-07
inverted rows,2,13.0,0.0,77.715,2022-02-07
inverted rows,3,12.0,0.0,77.715,2022-02-07
lat pulldown,1,10.0,60.0,77.715,2022-02-07
lat pulldown,2,8.0,60.0,77.715,2022-02-07
lat pulldown,3,8.0,55.0,77.715,2022-02-07
chin ups,1,6.0,16.25,77.715,2022-02-07
chin ups,2,5.0,16.25,77.715,2022-02-07
chin ups,3,5.0,13.75,77.715,2022-02-07
chin ups,4,5.0,12.5,77.715,2022-02-07
barbell hacksquat,1,5.0,112.5,77.525,2022-02-09
barbell hacksquat,2,5.0,112.5,77.525,2022-02-09
barbell hacksquat,3,5.0,110.0,77.525,2022-02-09
barbell hacksquat,4,5.0,110.0,77.525,2022-02-09
romanian deadlifts,1,12.0,95.0,77.525,2022-02-09
romanian deadlifts,2,11.0,95.0,77.525,2022-02-09
romanian deadlifts,3,10.0,95.0,77.525,2022-02-09
reverse nordics,1,13.0,5.0,77.525,2022-02-09
reverse nordics,2,12.0,0.0,77.525,2022-02-09
reverse nordics,3,11.0,0.0,77.525,2022-02-09
hamstring curls,1,10.0,5.0,77.525,2022-02-09
hamstring curls,2,9.0,5.0,77.525,2022-02-09
hamstring curls,3,9.0,5.0,77.525,2022-02-09
barbell curls,1,8.0,42.5,77.21000000000001,2022-02-13
barbell curls,2,6.0,42.5,77.21000000000001,2022-02-13
barbell curls,3,5.0,42.5,77.21000000000001,2022-02-13
decline push ups,1,9.0,0.0,77.21000000000001,2022-02-13
decline push ups,2,6.0,0.0,77.21000000000001,2022-02-13
decline push ups,3,6.0,0.0,77.21000000000001,2022-02-13
decline push ups,4,5.0,0.0,77.21000000000001,2022-02-13
side lateral,1,16.0,0.0,77.21000000000001,2022-02-13
side lateral,2,16.0,0.0,77.21000000000001,2022-02-13
side lateral,3,16.0,0.0,77.21000000000001,2022-02-13
straight arm pulldown,1,14.0,20.0,77.21000000000001,2022-02-13
straight arm pulldown,2,12.0,20.0,77.21000000000001,2022-02-13
straight arm pulldown,3,10.0,20.0,77.21000000000001,2022-02-13
push ups,1,4.0,20.0,77.21000000000001,2022-02-13
push ups,2,6.0,15.0,77.21000000000001,2022-02-13
push ups,3,5.0,15.0,77.21000000000001,2022-02-13
push ups,4,6.0,12.5,77.21000000000001,2022-02-13
wide grip rows,1,10.0,55.0,77.21000000000001,2022-02-13
wide grip rows,2,10.0,55.0,77.21000000000001,2022-02-13
wide grip rows,3,8.0,55.0,77.21000000000001,2022-02-13
atg split squats,1,6.0,29.0,77.44999999999999,2022-02-15
atg split squats,2,6.0,29.0,77.44999999999999,2022-02-15
atg split squats,3,5.0,29.0,77.44999999999999,2022-02-15
hamstring curls,1,11.0,5.0,77.44999999999999,2022-02-15
hamstring curls,2,9.0,5.0,77.44999999999999,2022-02-15
hamstring curls,3,9.0,5.0,77.44999999999999,2022-02-15
sissy squats,1,9.0,0.0,77.44999999999999,2022-02-15
sissy squats,2,8.0,0.0,77.44999999999999,2022-02-15
sissy squats,3,8.0,0.0,77.44999999999999,2022-02-15
sumo dl,1,5.0,110.0,77.44999999999999,2022-02-15
sumo dl,2,6.0,105.0,77.44999999999999,2022-02-15
sumo dl,3,6.0,105.0,77.44999999999999,2022-02-15
sumo dl,4,6.0,105.0,77.44999999999999,2022-02-15
db shoulder press,1,6.0,22.0,78.35666666666667,2022-02-18
db shoulder press,2,5.0,22.0,78.35666666666667,2022-02-18
db shoulder press,3,6.0,19.5,78.35666666666667,2022-02-18
db shoulder press,4,5.0,19.5,78.35666666666667,2022-02-18
decline press,1,12.0,0.0,78.35666666666667,2022-02-18
decline press,2,10.0,0.0,78.35666666666667,2022-02-18
decline press,3,9.0,0.0,78.35666666666667,2022-02-18
