year,month,day,effectivity,deep sleep,quality sleep,time asleep,time awake
2022,3,12,"92,1",8208000000000.0,19715000000000.0,27360000000000.0,2340000000000.0
2022,3,13,"100,0",11926000000000.0,20781000000000.0,28440000000000.0,0.0
2022,3,14,"96,9",9133000000000.0,17393000000000.0,24660000000000.0,780000000000.0
2022,3,15,"100,0",11804000000000.0,20201000000000.0,27240000000000.0,0.0
2022,3,16,"80,9",12426000000000.0,21397000000000.0,27720000000000.0,6540000000000.0
2022,3,17,"92,9",12960000000000.0,20817000000000.0,25920000000000.0,1980000000000.0
2022,3,18,"96,2",9827000000000.0,18700000000000.0,24120000000000.0,960000000000.0
2022,3,19,"97,5",9422000000000.0,17571000000000.0,25440000000000.0,660000000000.0
2022,3,20,"78,6",10230000000000.0,21184000000000.0,29760000000000.0,8100000000000.0
2022,3,21,"86,5",9039000000000.0,16929000000000.0,28020000000000.0,4380000000000.0
2022,3,22,"100,0",10000000000000.0,20538000000000.0,30000000000000.0,0.0
2022,3,23,"94,8",8933000000000.0,17547000000000.0,24120000000000.0,1320000000000.0
2022,3,24,"96,3",4589000000000.0,15794000000000.0,24780000000000.0,960000000000.0
2022,3,25,"94,0",14014000000000.0,20892000000000.0,26160000000000.0,1680000000000.0
2022,3,26,"84,3",3526000000000.0,17849000000000.0,22920000000000.0,4260000000000.0
2022,3,27,"97,0",11469000000000.0,20106000000000.0,26760000000000.0,840000000000.0
2022,3,28,"91,9",10333000000000.0,22361000000000.0,30060000000000.0,2640000000000.0
2022,3,29,"86,6",10354000000000.0,18918000000000.0,30120000000000.0,4680000000000.0
2022,3,30,"89,3",9432000000000.0,17050000000000.0,23580000000000.0,2820000000000.0
2022,3,31,"100,0",10355000000000.0,20036000000000.0,27300000000000.0,0.0
2022,4,1,"96,4",10868000000000.0,20163000000000.0,28980000000000.0,1080000000000.0
2022,4,2,"99,4",8336000000000.0,20825000000000.0,29640000000000.0,180000000000.0
2022,4,3,"99,1",5580000000000.0,21756000000000.0,31620000000000.0,300000000000.0
2022,4,4,"98,5",11960000000000.0,21794000000000.0,27600000000000.0,420000000000.0
2022,4,5,"96,0",8344000000000.0,20838000000000.0,28740000000000.0,1200000000000.0
2022,4,6,"81,3",6098000000000.0,15662000000000.0,23520000000000.0,5400000000000.0
2022,4,7,"96,9",8162000000000.0,21562000000000.0,31740000000000.0,1020000000000.0
2022,4,8,"100,0",11762000000000.0,26092000000000.0,34380000000000.0,0.0
2022,4,9,"91,5",11328000000000.0,20282000000000.0,28320000000000.0,2640000000000.0
2022,4,10,"100,0",11884000000000.0,22077000000000.0,31080000000000.0,0.0
2022,4,11,"93,6",10931000000000.0,20455000000000.0,30060000000000.0,2040000000000.0
2022,4,12,"98,2",9677000000000.0,21027000000000.0,30000000000000.0,540000000000.0
2022,4,13,"87,8",9400000000000.0,16648000000000.0,25380000000000.0,3540000000000.0
2022,4,14,"90,0",11960000000000.0,17239000000000.0,24840000000000.0,2760000000000.0
2022,4,15,"93,6",10032000000000.0,20830000000000.0,27360000000000.0,1860000000000.0
2022,4,16,"90,0",9086000000000.0,19672000000000.0,25440000000000.0,2820000000000.0
2022,4,17,"94,4",9094000000000.0,20468000000000.0,29100000000000.0,1740000000000.0
2022,4,18,"94,9",11123000000000.0,19472000000000.0,26880000000000.0,1440000000000.0
2022,4,19,"91,9",10206000000000.0,18279000000000.0,25980000000000.0,2280000000000.0
2022,4,20,"95,5",10362000000000.0,20169000000000.0,28260000000000.0,1320000000000.0
2022,4,21,"82,7",11549000000000.0,19585000000000.0,27540000000000.0,5760000000000.0
2022,4,22,"100,0",927000000000.0,19305000000000.0,32460000000000.0,0.0
2022,4,23,"90,8",10896000000000.0,19010000000000.0,27240000000000.0,2760000000000.0
2022,4,24,"100,0",4556000000000.0,16758000000000.0,24600000000000.0,0.0
2022,4,25,"100,0",7213000000000.0,22572000000000.0,33360000000000.0,0.0
2022,4,26,"94,0",8244000000000.0,21046000000000.0,27480000000000.0,1740000000000.0
2022,4,27,"95,6",9988000000000.0,20403000000000.0,27240000000000.0,1260000000000.0
2022,4,28,"96,6",7305000000000.0,18130000000000.0,29220000000000.0,1020000000000.0
2022,4,29,"98,9",8460000000000.0,22377000000000.0,31020000000000.0,360000000000.0
2022,4,30,"95,2",8300000000000.0,18368000000000.0,24900000000000.0,1260000000000.0
2022,5,1,"93,0",7140000000000.0,20603000000000.0,28560000000000.0,2160000000000.0
2022,5,2,"100,0",9077000000000.0,20708000000000.0,28140000000000.0,0.0
2022,5,3,"83,0",12687000000000.0,20385000000000.0,26280000000000.0,5400000000000.0
2022,5,4,"83,4",8775000000000.0,15840000000000.0,21060000000000.0,4200000000000.0
2022,5,5,"78,1",7420000000000.0,15608000000000.0,22260000000000.0,6240000000000.0
2022,5,6,"100,0",2734000000000.0,19407000000000.0,29160000000000.0,0.0
2022,5,7,"91,3",9360000000000.0,16699000000000.0,23400000000000.0,2220000000000.0
2022,5,8,"99,4",12400000000000.0,28120000000000.0,37200000000000.0,240000000000.0
2022,5,9,"91,7",4596000000000.0,16472000000000.0,25740000000000.0,2340000000000.0
2022,5,10,"100,0",13712000000000.0,22744000000000.0,31080000000000.0,0.0
2022,5,11,"93,1",9000000000000.0,20727000000000.0,26100000000000.0,1920000000000.0
2022,5,12,"100,0",9879000000000.0,21294000000000.0,28740000000000.0,0.0
2022,5,13,"97,1",11208000000000.0,20622000000000.0,28020000000000.0,840000000000.0
2022,5,14,"99,3",7514000000000.0,19245000000000.0,27240000000000.0,180000000000.0
2022,5,15,"85,9",9166000000000.0,19569000000000.0,26580000000000.0,4380000000000.0
2022,5,16,"100,0",9041000000000.0,19423000000000.0,26220000000000.0,0.0
2022,5,17,"100,0",11136000000000.0,21686000000000.0,27840000000000.0,0.0
2022,5,18,"95,0",10742000000000.0,23684000000000.0,33120000000000.0,1740000000000.0
2022,5,19,"85,7",6238000000000.0,16664000000000.0,24060000000000.0,4020000000000.0
2022,5,20,"94,8",12390000000000.0,23147000000000.0,31860000000000.0,1740000000000.0
2022,5,21,"97,0",8344000000000.0,20190000000000.0,28740000000000.0,900000000000.0
